last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Flowers, Tyler,452095,2017,2401,15,54.3,14.3,31.4,15.1,65,82.2,38.3,61.9,45.8
Mathis, Jeff,425772,2017,1552,4,54.3,8.8,11.6,3.8,60.4,70.1,50.6,69.9,52.4
Maldonado, Martin,455117,2017,3720,20,52,16,38.3,16.2,64.2,74.4,38,57.1,37.5
Hedges, Austin,595978,2017,3123,10,51.7,16.9,37.1,12.7,69.9,64.5,40.4,60.3,33.7
Joseph, Caleb,543376,2017,2055,5,51.6,15.6,27.8,9,73.9,68.6,38.9,54.5,37.2
Vogt, Stephen,519390,2017,1986,6,50.5,16.3,32.6,19.7,58.4,71.6,38.7,52.7,39.1
Grandal, Yasmani,518735,2017,3172,8,50.4,13.2,29,12.4,62.5,76.2,34.9,63.9,37.1
Phegley, Josh,572033,2017,1337,3,50.3,11.1,16.3,10.9,66.5,69.4,44.3,59.6,34.3
Romine, Austin,519222,2017,1745,4,50.1,20.5,39.5,11.8,67.4,68,41.9,53.2,29.5
Perez, Roberto,547379,2017,2080,8,50,13.3,37.9,20,65.2,70.9,41.5,55.3,33.3
d'Arnaud, Travis,518595,2017,2771,7,49.8,21.4,46.7,20,67.7,67,39.1,48.6,30.3
Vazquez, Christian,543877,2017,2717,4,49.7,14.3,38.7,23.5,68.1,72.2,37.4,49.3,33.7
Bandy, Jett,542908,2017,1371,0,49.7,12.7,34.2,17.6,69.1,66,50,50,28.7
Gomes, Yan,543228,2017,2738,6,49.5,23.4,29.2,12.6,72.8,58.5,46.2,60.8,23.8
Barnes, Austin,605131,2017,1730,3,49.5,14.6,24.4,8.7,57.1,71.2,41.9,63.6,45.7
Martin, Russell,431145,2017,2273,2,49.5,23.7,38,26.9,63.4,70.5,28,49.7,32.5
Maile, Luke,571912,2017,1071,-1,49.4,20,40.3,27.1,68.8,73.1,31.2,49.8,33.1
Gattis, Evan,594828,2017,1424,1,49.2,2,36.5,27.3,65.6,70.1,38.1,58.7,23.3
Sucre, Jesus,491696,2017,1571,3,49.2,8,32.1,15.7,72.8,66.5,43.2,54.3,28.4
